Daily data for a single subbasin.
Lake:    ,ont
Subbasin:,lake
Area:    ,  0.19121E+11
Starts(YMD):,1940-01-01
Ends(YMD):  ,2021-02-01
NewDataStart(YMD):,2021-02-02
Date      ,AirTempMin,AirTempMax,    Precip,   AirTemp,  Dewpoint, Windspeed,CloudCover
YYYY-MM-DD,   Celsius,   Celsius,Millimeter,   Celsius,   Celsius,Meters/Sec,   Percent
1940-10-27,     -0.91,      7.37,      0.00,        NA,        NA,        NA,        NA
1940-10-28,     -3.21,      5.75,      0.00,        NA,        NA,        NA,        NA
1940-10-29,     -4.55,      9.04,      2.16,        NA,        NA,        NA,        NA
1940-10-30,      3.08,      8.32,      5.67,        NA,        NA,        NA,        NA
1940-10-31,      2.39,      8.68,      0.98,        NA,        NA,        NA,        NA
1940-11-01,      1.64,     11.31,     11.54,        NA,        NA,        NA,        NA
1940-11-02,      5.87,     12.22,      8.54,        NA,        NA,        NA,        NA
1940-11-03,      5.47,     12.20,      0.48,        NA,        NA,        NA,        NA
1940-11-04,      3.74,     16.83,      0.00,        NA,        NA,        NA,        NA
1940-11-05,      8.46,     17.44,      4.73,        NA,        NA,        NA,        NA
1940-11-06,      1.93,     12.10,      3.50,        NA,        NA,        NA,        NA
1940-11-07,     -0.83,      4.33,      0.45,        NA,        NA,        NA,        NA
1940-11-08,     -1.31,      3.18,      0.51,        NA,        NA,        NA,        NA
1940-11-09,     -3.28,      5.21,      0.01,        NA,        NA,        NA,        NA
1940-11-10,     -0.57,      9.26,      1.23,        NA,        NA,        NA,        NA
1940-11-11,      6.01,     15.85,     17.89,        NA,        NA,        NA,        NA
1940-11-12,      2.94,     14.78,      2.91,        NA,        NA,        NA,        NA
1940-11-13,     -1.88,      6.33,      0.01,        NA,        NA,        NA,        NA
1940-11-14,     -1.63,      4.53,      0.85,        NA,        NA,        NA,        NA
1940-11-15,     -1.38,      2.71,      6.91,        NA,        NA,        NA,        NA
1940-11-16,     -3.88,      2.06,      3.62,        NA,        NA,        NA,        NA
1940-11-17,     -2.96,      3.91,      5.07,        NA,        NA,        NA,        NA
1940-11-18,     -0.65,      3.00,      0.51,        NA,        NA,        NA,        NA
1940-11-19,     -1.18,      7.73,      0.41,        NA,        NA,        NA,        NA
1940-11-20,      3.37,     10.81,      2.44,        NA,        NA,        NA,        NA
1940-11-21,      2.73,     11.16,      0.65,        NA,        NA,        NA,        NA
1940-11-22,      4.92,     13.23,      1.43,        NA,        NA,        NA,        NA
1940-11-23,      2.13,      6.54,      0.24,        NA,        NA,        NA,        NA
1940-11-24,      2.44,      5.77,      0.29,        NA,        NA,        NA,        NA
1940-11-25,     -5.87,      3.14,      0.00,        NA,        NA,        NA,        NA
1940-11-26,     -7.46,     -1.69,      5.53,        NA,        NA,        NA,        NA
1940-11-27,     -5.96,      0.12,      7.23,        NA,        NA,        NA,        NA
1940-11-28,     -9.46,     -2.34,      2.07,        NA,        NA,        NA,        NA
1940-11-29,     -9.34,      1.17,      4.67,        NA,        NA,        NA,        NA
1940-11-30,     -6.00,      1.48,     12.32,        NA,        NA,        NA,        NA
1940-12-01,     -9.61,     -0.01,      8.67,        NA,        NA,        NA,        NA
1940-12-02,    -13.97,     -4.32,      1.27,        NA,        NA,        NA,        NA
1940-12-03,    -19.18,     -7.03,      2.28,        NA,        NA,        NA,        NA
1940-12-04,    -20.43,     -3.31,      9.63,        NA,        NA,        NA,        NA
1940-12-05,     -9.49,     -2.46,      1.26,        NA,        NA,        NA,        NA
1940-12-06,    -15.68,      0.33,      0.31,        NA,        NA,        NA,        NA
